Date,Price,Open,High,Low,Volume,Chg%
1/21/2008,5208.8,5705,5705,4977.1,211.34B,-0.087
1/18/2008,5705.3,5907.75,5908.75,5677,135.74B,-0.0352
1/17/2008,5913.2,5937.95,6013.15,5880.3,127.18B,-0.0038
1/16/2008,5935.75,6065,6065,5825.75,152.49B,-0.0228
1/15/2008,6074.25,6226.35,6260.45,6053.3,117.68B,-0.0214
1/14/2008,6206.8,6208.8,6244.15,6172,110.91B,0.0011
1/11/2008,6200.1,6166.65,6224.2,6112.55,125.14B,0.007
1/10/2008,6156.95,6278.1,6347,6142.9,133.66B,-0.0183
1/9/2008,6272,6287.55,6338.3,6231.25,120.85B,-0.0025
1/8/2008,6287.85,6282.45,6357.1,6221.6,162.56B,0.0014
1/7/2008,6279.1,6271,6289.8,6193.35,139.61B,0.0008
1/4/2008,6274.3,6179.1,6300.05,6179.1,147.63B,0.0155
1/3/2008,6178.55,6184.25,6230.15,6126.4,156.36B,-0.0001
1/2/2008,6179.4,6144.7,6197,6060.85,110.35B,0.0057
1/1/2008,6144.35,6136.75,6165.35,6109.85,81.31B,0.0009
12/31/2007,6138.6,6095,6167.75,6095,85.02B,0.0097
12/28/2007,6079.7,6079.55,6098.6,6021.9,79.57B,-0.0003
12/27/2007,6081.5,6069,6110.85,6060.2,149.99B,0.0018
12/26/2007,6070.75,5988.45,6085.25,5988.45,90.83B,0.0143
12/24/2007,5985.1,5771.3,6001.05,5771.3,100.42B,0.0379
12/20/2007,5766.5,5751.75,5799.5,5742.75,79.15B,0.0027
12/19/2007,5751.15,5730.25,5840.8,5676.7,88.36B,0.0015
12/18/2007,5742.3,5777.6,5874.6,5710.6,109.46B,-0.006
12/17/2007,5777,6037.95,6039.95,5740.6,108.21B,-0.0448
12/14/2007,6047.7,6056.2,6078.55,6015.05,100.56B,-0.0017
12/13/2007,6058.1,6159.25,6185.4,6040.4,120.31B,-0.0164
12/12/2007,6159.3,6067.05,6175.65,6005.45,130.76B,0.0102
12/11/2007,6097.25,5960.4,6111.2,5960.4,115.31B,0.0229
12/10/2007,5960.6,5974,6015.3,5923.35,86.33B,-0.0023
12/7/2007,5974.3,5963.6,6042.1,5894.8,123.11B,0.0033
12/6/2007,5954.7,5941.05,6027.05,5919.8,154.95B,0.0025
12/5/2007,5940,5861.9,5949.3,5859.95,120.15B,0.0139
12/4/2007,5858.35,5870.2,5897.25,5840.3,107.50B,-0.0011
12/3/2007,5865,5765.45,5878.8,5754.6,111.92B,0.0177
11/30/2007,5762.75,5633.9,5782.55,5632.65,170.46B,0.0227
11/29/2007,5634.6,5617.8,5725,5612.1,301.03B,0.003
11/28/2007,5617.55,5699.55,5749.95,5595.5,97.58B,-0.0141
11/27/2007,5698.15,5729.25,5743.55,5655.6,96.31B,-0.0059
11/26/2007,5731.7,5611.3,5772.55,5608.95,127.10B,0.0219
11/23/2007,5608.6,5524.3,5638.6,5514.75,102.00B,0.0162
11/22/2007,5519.35,5564.65,5608.65,5394.35,149.03B,-0.0075
11/21/2007,5561.05,5778.8,5790.05,5530.85,129.73B,-0.038
11/20/2007,5780.9,5911.25,5923.7,5755.8,127.22B,-0.0215
11/19/2007,5907.65,5908.05,5981.8,5893.8,104.83B,0.0001
11/16/2007,5906.85,5913.15,5948.05,5817.4,129.79B,-0.0009
11/15/2007,5912.1,5942.7,5966.95,5895.65,146.64B,-0.0043
11/14/2007,5937.9,5703.95,5950.2,5700.05,173.24B,0.0426
11/13/2007,5695.4,5612.35,5758.85,5591.6,156.34B,0.0139
11/12/2007,5617.1,5660.6,5660.6,5477.5,138.68B,-0.0081
11/9/2007,5663.25,5703.45,5794.2,5614.9,213.90B,-0.0062
11/8/2007,5698.75,5779.3,5780.8,5646.75,141.33B,-0.0145
11/7/2007,5782.35,5782.4,5861.35,5744.3,171.69B,-0.0007
11/6/2007,5786.5,5847.1,5957.2,5759.95,244.85B,-0.0104
11/5/2007,5847.3,5931.9,5948.55,5819.6,169.01B,-0.0143
11/2/2007,5932.4,5854.85,5944.75,5714.25,164.84B,0.0112
11/1/2007,5866.45,5903.8,6011.95,5837.2,270.20B,-0.0058
10/31/2007,5900.65,5868.9,5952.25,5861.3,168.16B,0.0054
10/30/2007,5868.75,5917.55,5976,5833.9,176.83B,-0.0063
10/29/2007,5905.9,5708.9,5922.5,5708.9,173.59B,0.0357
10/26/2007,5702.3,5564.25,5716.9,5513.35,164.40B,0.0239
10/25/2007,5568.95,5499.05,5605.95,5469.3,188.73B,0.0132
10/24/2007,5496.15,5477.6,5577.9,5419.4,166.88B,0.0041
10/23/2007,5473.7,5185.3,5488.5,5176.85,145.84B,0.0559
10/22/2007,5184,5202.75,5247.4,5070.9,131.80B,-0.006
10/19/2007,5215.3,5360.35,5390.85,5101.75,181.01B,-0.0254
10/18/2007,5351,5551.1,5736.8,5269.65,202.75B,-0.0375
10/17/2007,5559.3,5658.9,5658.9,5107.3,186.85B,-0.0192
10/16/2007,5668.05,5670.65,5708.35,5578.45,174.11B,-0.0004
10/15/2007,5670.4,5428.35,5682.65,5419.9,160.99B,0.0446
10/12/2007,5428.25,5525.3,5549.3,5402.6,174.47B,-0.0175
10/11/2007,5524.85,5438.9,5532.75,5424.25,130.84B,0.0153
10/10/2007,5441.45,5328.15,5454.7,5328.15,184.94B,0.0214
10/9/2007,5327.25,5062.65,5348.7,5000.95,139.86B,0.0476
10/8/2007,5085.1,5186.25,5249.3,5024.75,111.43B,-0.0194
10/5/2007,5185.85,5208.15,5248.55,5164.5,93.29B,-0.0044
10/4/2007,5208.65,5211.65,5233.1,5126.05,127.31B,-0.0004
10/3/2007,5210.8,5069,5261.35,5034.15,187.72B,0.028
10/1/2007,5068.95,5021.5,5089.3,5001.35,132.21B,0.0095
9/28/2007,5021.35,4996.45,5055.8,4996.45,137.76B,0.0042
9/27/2007,5000.55,4942.7,5016.4,4942.7,172.14B,0.0122
9/26/2007,4940.5,4937.6,4980.85,4930.35,117.67B,0.0003
9/25/2007,4938.85,4939.1,4953.9,4878.15,140.29B,0.0013
9/24/2007,4932.2,4837.15,4941.15,4837.15,147.58B,0.0196
9/21/2007,4837.55,4752.95,4855.7,4733.7,161.39B,0.019
9/20/2007,4747.55,4734.85,4760.85,4721.15,93.97B,0.0032
9/19/2007,4732.35,4550.25,4739,4550.25,108.52B,0.0409
9/18/2007,4546.2,4494.1,4551.8,4481.55,56.39B,0.0115
9/17/2007,4494.65,4518.45,4549.05,4482.85,51.25B,-0.0052
9/14/2007,4518,4530,4582.6,4508.85,71.20B,-0.0024
9/13/2007,4528.95,4498.05,4540.6,4498.05,59.33B,0.0071
9/12/2007,4496.85,4498.65,4531.5,4490.4,66.79B,0
9/11/2007,4497.05,4509.65,4538.6,4487.15,80.05B,-0.0024
